gene	log2FC
GRB2	-0.106
CDKN2A	4.252
PTEN	-4.547
NOTCH1	-2.427
CXCL8	0.363
APC	-2.082
MAPK3	-4.49
FOS	4.59
PTEN	-2.178
RAF1	3.714
BRAF	3.1
ERBB2	-0.647
ABL1	-3.905
FGFR1	3.275
CDKN1A	-4.447
FGFR2	1.488
IL6	-3.16
MKI67	2.816
RB1	-4.246
MAP2K2	-2.536
PDGFRA	2.962
HIF1A	4.962
GATA3	1.499
CDKN1B	-4.707
PCNA	-3.242
CDK2	-0.575
FGFR3	1.915
GATA3	0.663
PIK3CA	-1.598
APC	-0.745
FGFR2	-1.966
SMAD4	-2.16
CDKN1B	-1.996
KIT	2.815
VHL	4.343
IL10	-1.633
IL10	1.61
PTEN	-3.583
CDKN1B	-0.867
SMAD4	2.989
REL	-0.933
ABL1	-0.352
MAPK3	4.62
TP53	-4.32
GATA3	-1.132
FGFR1	-4.122
TP53	0.006
VEGFA	4.093
SMAD4	4.096
E2F1	1.669
MET	4.802
MDM2	2.71
SOS1	3.798
RB1	2.826
CDKN1A	4.954
CDKN1A	1.975
KRAS	1.961
E2F1	3.143
CDK2	2.563
E2F1	-4.746
TNF	-4.69
STAT3	1.294
RB1	0.781
LCK	-1.651
IL10	4.753
PIK3CA	2.862
CDK6	-4.168
CDKN1B	3.996
MAP2K2	-3.191
MAP2K2	-2.412
MAP2K1	0.66
MAPK1	-3.711
VHL	-3.432
APC	1.357
CCNE1	3.081
FOS	4.116
CDKN2A	-1.302
EGFR	2.422
CCND1	-2.375
CDK4	0.607
E2F2	-2.943
JUN	-2.829
TERT	-1.827
MAP2K1	0.235
GRB2	1.982
MDM2	1.072
ERBB2	-3.568
E2F2	4.784
BRCA2	0.372
SYK	-4.245
BRAF	-1.666
REL	0.743
PIK3CA	-0.626
CDKN1B	3.48
BRCA1	-3.584
NOTCH1	3.78
SYK	-1.75
SRC	-4.558
CDKN1A	-4.281
CDK6	-2.089
FGFR3	-2.292
MAP2K2	2.291
TP53	-2.462
EGFR	3.31
MDM2	-2.543
SMAD4	1.191
MAPK1	-2.606
TNF	1.935
CDH1	-2.949
RB1	3.546
PIK3CA	-0.868
PCNA	-1.463
MAPK1	-0.117
MET	4.183
CDKN2A	-2.379
FGFR3	-2.83
MAP2K1	-2.133
CDKN1A	-2.058
E2F1	-2.291
CXCL8	2.136
NOTCH1	1.311
TERT	1.146
HRAS	-0.733
IL6	1.875
CCNE1	0.404
ERBB2	0.802
RAF1	-3.63
RB1	3.839
SHC1	-2.626
FOS	-2.979
NRAS	-0.075
BRAF	0.424
RB1	-0.431
CDH1	-4.601
KRAS	-3.78
STAT3	-0.688
BRAF	-3.063
VHL	2.969
TP53	0.421
IL6	-2.201
AKT1	-4.709
CDH1	-1.589
CDH1	-3.437
HRAS	1.036
CDK2	-2.682
JAK2	2.628
MAP2K2	1.563
PDGFRA	2.905
GRB2	-0.335
FGFR3	0.691
PCNA	-2.736
SHC1	-4.755
TP53	2.939
PTEN	-3.438
CDKN1A	2.679
MAPK1	-2.075
CDK2	1.081
BRCA1	-2.263
GRB2	-3.228
BRCA2	1.905
BRAF	-2.451
TERT	-3.547
MDM2	4.704
CDKN1A	2.843
JUN	4.153
LCK	2.87
E2F1	3.908
TNF	-0.642
HIF1A	3.029
KIT	0.828
VEGFA	-3.971
CDK4	-2.244
CCNE1	-2.131
TNF	0.541
KIT	4.853
VHL	-0.014
CCNE1	-1.997
VEGFA	-2.065
FGFR3	-3.825
CDKN1B	2.665
SYK	0.062
CDKN1B	-0.767
KRAS	3.021
CCND1	3.446
AKT1	0.871
NFKB1	2.972
SYK	-1.412
JUN	3.581
CCND1	-1.52
PCNA	-0.803
VEGFA	-4.033
FGFR3	-3.685
ABL1	-1.538
GATA3	3.456
IL10	3.99
VEGFA	0.82
KIT	3.205
CDKN1A	-0.423
RB1	3.668
BRCA1	-4.576
GRB2	2.642
BRCA2	0.117
RB1	3.632
SOS1	-1.805
KIT	-4.188
PIK3CA	0.573
MET	-1.37
MYC	1.239
CDKN1A	-1.139
RB1	-2.669
NOTCH1	3.072
NOTCH1	4.678
FGFR2	-2.971
TP53	-0.966
RAF1	2.573
NFKB1	0.969
AKT1	0.091
CCNE1	3.246
ABL1	-3.558
TERT	-1.157
MET	-4.128
FOS	1.585
JUN	-4.837
CDKN2A	0.591
REL	2.049
SRC	-0.27
MAP2K1	-2.174
MET	-2.402
CDKN1A	-3.312
NOTCH1	-4.684
MKI67	-2.419
MET	-4.222
NFKB1	-3.797
MYC	2.531
CXCL8	3.141
EGFR	2.224
BRAF	-0.114
MAP2K1	0.458
IL10	4.352
MAPK3	-4.898
PDGFRA	3.68
LCK	3.894
FOS	3.965
JAK2	-2.096
APC	4.599
SHC1	-0.759
PCNA	0.661
HRAS	-3.947
PCNA	-1.534
IL6	-3.22
CCND1	-4.072
GATA3	2.401
APC	-3.121
SMAD4	2.057
GRB2	2.616
CDKN1A	0.403
VEGFA	1.397
TERT	4.634
CCND1	-3.574
JUN	2.26
SRC	-2.507
SHC1	-3.906
BRAF	1.28
MET	-3.404
AKT1	4.077
REL	1.255
CDK6	2.636
REL	1.873
TNF	2.772
TP53	3.85
CDK2	0.542
RAF1	-3.537
ERBB2	-2.387
VHL	-3.429
BRAF	-0.465
FGFR2	3.937
TERT	3.33
MDM2	-0.982
PTEN	-3.839
CDH1	3.83
PDGFRA	4.058
TP53	0.444
PIK3CA	-0.264
NFKB1	1.529
CDKN2A	2.571
APC	1.672
MET	1.226
KIT	-1.866
E2F2	-0.931
VHL	4.9
CCND1	-4.19
SMAD4	-2.462
VEGFA	-4.646
RAF1	1.524
ERBB2	-2.923
FGFR2	-4.695
JAK2	-3.173
RB1	4.96
CDH1	-3.899
MAPK3	3.431
JUN	-3.583
TP53	3.033
SOS1	-1.007
IL6	-1.537
MAP2K2	-3.446
CDKN2A	-1.476
VHL	-2.176
MET	-2.125
GRB2	1.569
HIF1A	-0.812
CDH1	0.549
SHC1	2.759
NOTCH1	1.296
BRAF	-0.347
REL	-3.997
NFKB1	-3.79
TNF	0.739
HRAS	2.933
STAT3	4.215
FOS	-3.606
E2F1	2.021
ERBB2	2.993
SMAD4	-4.523
HRAS	-4.722
NRAS	3.292
TP53	-0.528
FGFR1	-3.686
LCK	-3.054
BRCA2	-3.989
PCNA	2.935
MAPK1	-0.253
CDH1	2.143
CCND1	2.772
ERBB2	1.277
LCK	-1.271
CDK4	-4.988
SOS1	-0.091
MAP2K1	-4.568
HRAS	0.665
FGFR3	-1.638
RAF1	2.619
CCND1	4.554
FGFR3	-2.945
MDM2	1.454
KRAS	-4.052
HRAS	1.846
CDH1	-0.752
CDK4	4.716
CDKN1A	-4.27
CXCL8	-1.407
E2F1	-4.948
MAPK3	-0.455
KRAS	-2.298
NRAS	-1.387
TERT	0.768
TERT	-3.347
SHC1	0.78
NFKB1	2.84
APC	-3.797
RAF1	0.349
LCK	2.247
GATA3	-4.627
PDGFRA	2.295
MAPK3	-4.65
CDH1	0.623
SOS1	-2.31
ABL1	4.762
BRAF	-4.285
E2F2	-1.529
FGFR2	2.24
STAT3	-4.581
MYC	-1.595
CDK4	4.137
NOTCH1	2.418
STAT3	0.996
LCK	1.866
IL10	2.991
AKT1	-3.007
RB1	-3.294
CDK4	-3.252
VEGFA	3.213
GATA3	1.616
CDKN1A	-2.862
VEGFA	0.476
STAT3	3.233
NFKB1	2.908
LCK	-2.716
BRAF	-2.763
RAF1	0.249
IL6	-4.434
APC	3.976
TERT	-4.461
FGFR1	4.382
CDK2	-3.98
FGFR3	-2.689
CCND1	-3.497
NFKB1	2.408
NOTCH1	4.988
E2F1	4.665
IL10	-4.099
MAP2K1	-3.553
CCNE1	-2.935
MAP2K2	3.566
VHL	-4.303
CCND1	3.977
CXCL8	-4.57
TNF	1.247
SHC1	4.109
RAF1	3.797
REL	-0.604
AKT1	-2.172
CDK6	-2.776
HRAS	-1.967
CDKN1B	-4.837
BRCA1	-2.252
KIT	-4.338
SRC	-2.584
HIF1A	2.65
NFKB1	1.784
HRAS	4.221
FOS	0.225
E2F1	3.629
ERBB2	-0.141
GATA3	-3.748
IL10	0.412
KRAS	-4.755
VHL	-0.326
PIK3CA	-3.211
MAPK3	-4.832
JAK2	2.569
KRAS	-2.689
TP53	3.653
TNF	-2.058
MAP2K2	1.132
MDM2	4.526
VHL	2.118
RAF1	-3.247
MAPK1	-2.786
CDK4	2.236
SHC1	-0.518
CDH1	-4.426
BRCA2	-3.344
CXCL8	-0.495
LCK	-3.263
LCK	0.316
HRAS	3.861
GRB2	0.016
PIK3CA	-4.523
BRCA1	4.463
GRB2	-1.547
E2F1	-4.78
MYC	4.755
LCK	3.789
HIF1A	2.269
HRAS	-2.995
CCND1	4.027
SOS1	-4.591
BRAF	-2.487
NFKB1	3.62
CDKN1A	-4.683
MAP2K2	-4.291
GRB2	-3.751
STAT3	0.858
CXCL8	-3.404
NRAS	-4.923
KRAS	-2.11
MAP2K1	2.389
MKI67	2.838
ERBB2	-0.031
APC	-4.819
KRAS	1.606
NRAS	-0.171
CCNE1	3.129
RAF1	-4.687
MAPK1	1.622
CDKN1B	0.026
MYC	0.25
APC	-1.252
HRAS	3.474
CDH1	-3.275
HIF1A	-4.024
GRB2	-2.279
PCNA	3.558
VEGFA	-3.003
TNF	1.481
MET	-2.564
CDH1	0.911
TNF	1.26
VEGFA	-3.79
EGFR	3.644
JAK2	4.1
PDGFRA	3.049
CDH1	-4.264
CXCL8	1.395
CDKN1A	1.347
BRAF	2.27
RAF1	-1.807
APC	-3.501
TP53	0.781
MAP2K2	2.87
HIF1A	3.893
PTEN	4.574
MAP2K1	-4.265
MAP2K2	-2.969
REL	-0.805
PDGFRA	-3.128
MET	-0.549
CDKN1B	0.519
E2F1	0.007
FGFR1	-3.307
VHL	-0.231
CCND1	-3.666
TNF	-1.456
SHC1	-0.845
TERT	-1.868
HIF1A	3.748
E2F1	-3.993
AKT1	2.829
SOS1	2.216
FOS	0.057
APC	-0.805
MYC	-1.463
FGFR2	4.747
LCK	4.028
AKT1	-3.002
CCND1	4.134
CCNE1	-0.265
MAP2K1	-4.637
MAPK1	-3.987
STAT3	-3.991
FGFR2	-1.426
MKI67	1.388
CDKN1A	0.265
CDH1	-4.861
EGFR	0.49
IL10	-3.755
KIT	2.69
CCNE1	-0.918
EGFR	0.594
GRB2	-1.933
CDH1	4.15
TNF	-1.527
VEGFA	-4.31
PIK3CA	3.75
E2F1	-2.272
AKT1	1.069
SRC	1.039
AKT1	1.703
RAF1	-0.702
KRAS	3.68
CDKN2A	-4.449
CXCL8	2.311
MYC	-3.525
MAPK1	3.625
JAK2	-2.251
HIF1A	-1.06
IL10	2.921
SMAD4	-1.045
MET	-2.103
CDKN1B	2.882
CXCL8	1.56
FGFR3	0.085
GRB2	3.506
HIF1A	4.675
CCND1	1.074
TNF	0.627
FGFR2	4.234
MAPK1	1.853
TNF	4.333
CDKN2A	3.138
REL	-1.139
VEGFA	1.457
CCND1	2.821
BRCA2	3.201
RAF1	-4.426
MET	0.776
CCNE1	-0.192
SMAD4	-1.805
PTEN	-2.569
JUN	1.387
KIT	2.956
ABL1	-1.899
MKI67	-2.828
BRCA2	-4.464
LCK	-1.769
MYC	-3.906
BRAF	-4.222
APC	1.491
SOS1	-3.285
CDK4	-3.439
HIF1A	4.926
FGFR3	3.96
CDH1	-3.999
BRCA1	1.154
CDH1	-0.756
BRAF	-4.084
CDKN1A	-3.139
GATA3	-3.066
FOS	-4.266
MAP2K1	-2.723
CXCL8	4.449
IL10	-2.925
CDKN1B	3.59
E2F2	3.101
E2F1	4.616
REL	3.875
MAP2K2	-1.704
SYK	0.003
MAPK3	0.67
CDH1	4.714
MAP2K2	-0.001
GRB2	-4.087
PCNA	0.981
CDK6	-0.997
MAPK1	1.011
CDKN1A	-1.913
TP53	3.824
IL10	-2.932
JAK2	4.163
MYC	-4.481
ABL1	-2.743
SYK	-0.99
TERT	3.6
LCK	2.473
TNF	1.084
E2F2	-0.414
IL10	-1.377
IL10	-3.558
CDKN1B	-0.293
IL6	-4.21
VEGFA	-1.379
NRAS	1.306
KRAS	0.877
PCNA	0.291
BRCA1	4.506
MAPK3	2.227
PIK3CA	3.244
E2F1	1.72
TERT	-2.919
NFKB1	0.793
CDKN1B	2.968
CDKN2A	1.961
NFKB1	-4.435
BRCA1	0.239
MKI67	-3.269
BRAF	0.595
VHL	0.94
KRAS	-3.91
MAPK3	-3.716
EGFR	-2.939
REL	4.381
ERBB2	4.196
HRAS	-4.796
CDK6	-1.382
CDK2	-0.578
EGFR	-0.999
KIT	0.54
CDKN1B	-2.943
APC	0.668
PCNA	4.52
JAK2	4.191
PCNA	-2.21
APC	3.61
E2F1	-4.537
MYC	-3.286
NFKB1	4.099
PDGFRA	-4.138
HIF1A	1.284
APC	-1.337
CDK6	-4.981
PCNA	1.134
KIT	-1.189
CDKN1A	2.614
VHL	2.345
CCNE1	1.756
NRAS	0.809
IL6	-3.85
MDM2	0.086
E2F2	-0.513
SMAD4	-0.101
TP53	0.031
E2F2	-1.081
MAP2K2	-4.356
CDKN2A	2.898
MYC	3.892
RAF1	4.083
PDGFRA	-2.215
SMAD4	0.642
LCK	-2.003
E2F2	-4.146
KIT	-0.993
TP53	-0.846
CDK4	-1.587
FGFR3	-3.338
RAF1	1.014
HIF1A	3.691
RAF1	0.282
CDK4	4.45
KRAS	-0.715
MAP2K2	-4.317
JAK2	-2.798
FGFR3	4.719
SMAD4	-4.721
FGFR2	-2.649
VHL	-2.969
CCNE1	1.781
SHC1	2.932
SHC1	2.251
TERT	-1.924
BRCA1	3.388
NOTCH1	1.253
CXCL8	-4.059
PCNA	-0.394
TERT	-4.714
REL	-0.826
EGFR	0.145
SYK	-0.544
CXCL8	3.498
MYC	0.023
NOTCH1	-3.402
CDK6	2.777
SMAD4	-2.935
MAPK1	0.555
TP53	-1.585
VHL	-1.317
NRAS	4.075
EGFR	3.17
VHL	2.467
CDK4	2.921
SYK	-3.589
PCNA	-4.914
SOS1	-0.29
SYK	-1.241
CDK6	-1.295
PCNA	1.602
AKT1	1.948
BRCA2	3.289
CDKN1A	-4.546
IL6	3.149
E2F2	-2.207
SMAD4	2.998
MYC	-0.684
E2F1	1.301
PIK3CA	-3.53
HRAS	-2.833
REL	3.304
MAP2K2	-3.592
REL	-0.882
SHC1	2.744
NOTCH1	2.406
CDK4	2.904
HIF1A	-1.583
CDK4	0.737
NFKB1	-4.156
CDKN1B	4.992
ERBB2	-4.933
PCNA	-3.804
BRCA1	2.505
NOTCH1	-3.246
RAF1	3.477
VEGFA	0.506
CCND1	1.114
MAPK3	-2.25
HIF1A	0.061
SOS1	-3.91
SHC1	3.398
SOS1	-4.633
MAP2K2	-3.521
MAPK1	0.319
CXCL8	3.478
MAPK3	-2.894
GATA3	4.916
EGFR	-4.271
PTEN	-2.419
EGFR	3.68
AKT1	-0.033
PCNA	4.343
KIT	-3.957
PIK3CA	-1.217
RAF1	4.717
GATA3	4.146
TERT	-4.616
MAPK3	4.683
CDKN1B	-0.75
NOTCH1	0.523
PDGFRA	-1.925
VEGFA	2.753
NOTCH1	4.561
BRAF	-2.686
IL6	4.311
NOTCH1	-2.201
APC	3.022
TP53	-4.462
EGFR	-3.955
MKI67	2.824
ABL1	1.37
E2F2	-3.019
MYC	0.657
NFKB1	1.868
TERT	-1.596
NOTCH1	2.249
PIK3CA	-2.831
GATA3	-1.947
CCND1	-3.824
FGFR3	4.579
MKI67	0.04
E2F2	2.95
TERT	0.156
E2F1	-1.696
CCNE1	-3.914
CCND1	1.585
GATA3	0.845
JAK2	3.135
REL	2.275
MAP2K1	-0.525
IL6	-1.134
GATA3	-0.936
SHC1	-4.807
AKT1	-2.892
STAT3	2.742
JAK2	1.897
JUN	-0.387
CCND1	0.008
FGFR1	2.981
BRAF	3.887
CDH1	2.958
REL	1.846
CCND1	-2.155
CCNE1	2.898
FGFR2	-0.353
FGFR1	-0.272
MDM2	-0.44
CDK4	0.93
CDKN1A	-1.62
VHL	2.461
PDGFRA	-2.468
PIK3CA	-3.433
CDKN1B	2.549
PTEN	-4.847
GRB2	3.069
KIT	1.701
PDGFRA	-3.913
BRCA2	1.901
TERT	3.755
JUN	-2.939
LCK	2.293
NFKB1	2.857
GRB2	-3.065
E2F1	-3.252
MAP2K2	-0.963
MET	0.215
RB1	-0.488
PCNA	-0.236
MKI67	4.483
SRC	-0.438
CCND1	-2.292
RAF1	-3.058
E2F1	-2.352
CDK2	3.314
MET	0.586
MDM2	3.722
CDK2	-3.022
MKI67	2.157
E2F2	3.371
HRAS	-2.289
TERT	4.981
BRCA1	-2.546
ABL1	-0.062
E2F2	1.117
FOS	1.859
KRAS	-2.431
SYK	4.015
FGFR1	2.713
ABL1	2.161
NRAS	-2.387
BRAF	-1.547
KIT	-2.699
PCNA	0.191
LCK	4.802
APC	4.959
APC	-2.442
E2F2	-3.225
LCK	-1.676
FOS	3.264
NFKB1	-0.022
TERT	-0.316
E2F2	4.105
NFKB1	3.273
CDKN2A	-0.233
E2F1	3.077
MAP2K2	2.641
REL	-1.368
CDK6	0.739
REL	1.671
TERT	2.348
HIF1A	-0.598
SRC	4.955
KRAS	3.73
STAT3	4.059
E2F2	-0.651
SMAD4	2.41
CCNE1	1.811
MAP2K1	-3.873
SOS1	3.086
SHC1	3.97
CDK6	-2.434
E2F1	-4.761
MKI67	-0.971
NFKB1	0.636
APC	3.865
MAP2K1	2.222
AKT1	4.407
AKT1	4.626
STAT3	1.295
LCK	3.837
CCND1	-0.303
CDK4	-1.038
HIF1A	-2.702
NRAS	4.144
SOS1	4.805
VHL	3.441
IL6	1.089
ABL1	0.982
APC	-4.29
MAPK1	-1.136
GATA3	-1.588
HIF1A	-1.933
ERBB2	-4.525
E2F2	4.939
ERBB2	-1.776
KIT	-2.99
KRAS	4.931
CXCL8	-3.353
MKI67	-1.022
REL	-0.381
AKT1	-2.466
IL6	-2.783
EGFR	0.741
BRCA1	1.117
CDK6	0.807
KRAS	-0.057
GRB2	2.952
TP53	-3.684
VEGFA	-1.766
BRCA2	-4.58
SHC1	-0.992
ABL1	1.552
NOTCH1	1.918
FOS	0.885
ERBB2	-3.542
MAPK1	-3.286
MET	2.729
HIF1A	3.281
EGFR	4.133
MAP2K1	1.727
FGFR3	0.223
VHL	-3.162
SOS1	1.572
MAP2K1	1.214
STAT3	-2.121
RAF1	-2.571
PDGFRA	3.343
NFKB1	3.546
FGFR3	-4.89
LCK	-2.893
SYK	-4.696
CCND1	-0.799
AKT1	-1.658
JUN	-3.615
CCNE1	-2.446
NFKB1	2.04
KRAS	-3.753
TP53	0.213
MAPK3	-2.304
RB1	3.879
JUN	-0.012
RB1	0.645
FGFR3	-0.6
FGFR1	2.45
KRAS	-4.753
SMAD4	-3.822
NOTCH1	3.769
NRAS	4.776
ERBB2	-3.019
ABL1	2.661
HRAS	-3.598
TERT	-0.179
RB1	-0.739
CDKN2A	4.573
EGFR	4.032
NFKB1	2.098
CDH1	-4.86
SMAD4	3.277
E2F2	-0.683
SYK	-3.162
NOTCH1	1.772
CDK2	0.685
MKI67	-2.779
KIT	-1.289
PCNA	-4.881
LCK	4.522
RB1	3.246
HIF1A	-4.454
GATA3	2.354
MAP2K1	3.831
TERT	4.222
KRAS	-2.274
MAPK1	-1.547
CDK4	-4.561
RAF1	1.593
GATA3	4.507
NFKB1	-1.971
MAP2K1	-2.844
E2F1	4.745
PTEN	3.562
MAP2K1	-1.11
SHC1	3.254
PCNA	-3.069
NRAS	-3.383
CCNE1	-0.071
MAP2K2	-4.009
FOS	-2.484
IL10	3.521
RB1	2.89
CXCL8	-2.522
ERBB2	-0.145
IL6	4.213
MAPK3	0.838
RAF1	1.649
STAT3	-3.747
E2F2	-4.927
CXCL8	-3.085
TERT	4.121
CCNE1	1.72
MYC	-2.992
CDKN1A	-0.732
CCND1	3.319
SHC1	0.413
E2F2	3.497
AKT1	4.264
CXCL8	-1.305
RAF1	-4.548
GRB2	-2.75
TP53	0.364
E2F1	1.424
JUN	4.663
SHC1	3.336
PDGFRA	2.249
BRAF	-0.44
VHL	-0.547
PTEN	0.545
FGFR1	-2.071
REL	-3.86
SYK	-0.094
AKT1	-4.868
STAT3	1.838
MAP2K1	-1.904
NOTCH1	-3.356
CDK6	-4.999
JUN	-1.551
IL6	2.961
SYK	-1.527
FOS	0.139
REL	2.686
CXCL8	-0.083
CDKN2A	3.422
MAP2K1	-0.637
NRAS	4.734
PIK3CA	3.008
BRAF	-2.11
RAF1	1.02
BRCA1	2.567
NRAS	4.922
ERBB2	-0.794
MAPK1	-2.758
ERBB2	-2.686
CDH1	-1.039
JUN	0.573
VEGFA	-0.713
CDK6	4.009
SOS1	3.725
CCND1	-1.54
CCNE1	1.139
MAP2K1	-4.758
SMAD4	2.269
IL6	1.546
KIT	-4.466
REL	0.156
TP53	3.632
APC	-2.88
REL	2.561
KIT	0.688
STAT3	3.364
CDKN2A	2.989
CDK2	3.858
JAK2	-0.832
SRC	-1.248
PTEN	4.468
STAT3	-3.056
TNF	0.926
JUN	0.046
TP53	-2.982
FGFR3	-3.175
HIF1A	-3.443
CCND1	4.76
E2F2	1.42
FGFR1	2.117
GATA3	1.403
VHL	-1.254
NOTCH1	-2.818
NFKB1	-3.51
CDK6	3.784
BRCA1	-0.341
CDH1	-1.764
CCNE1	-1.152
MKI67	1.667
SMAD4	0.788
CDK4	-4.817
MDM2	-0.257
SMAD4	2.623
VHL	-3.433
VEGFA	-0.561
VEGFA	0.343
CDK6	2.049
MAP2K2	3.924
RB1	-1.746
VHL	-1.503
PTEN	1.779
BRCA1	-1.72
GATA3	-2.248
TNF	2.549
PCNA	0.018
PCNA	2.266
CDKN1B	0.745
CDKN1B	2.256
KRAS	1.093
E2F2	-0.166
MYC	1.058
CXCL8	-2.078
E2F2	1.82
CDKN1B	-1.92
REL	-3.96
ABL1	3.06
FGFR1	-4.698
IL10	1.844
NRAS	-4.314
MAPK3	-3.705
NOTCH1	-1.217
CDKN1B	-0.183
CDK2	1.029
BRCA2	-2.905
GATA3	-4.685
BRCA2	-0.938
MET	4.722
CDKN1A	0.744
MKI67	1.647
BRAF	1.854
TNF	-4.529
GATA3	2.164
IL10	2.122
AKT1	0.153
ERBB2	3.458
KIT	2.035
SRC	-1.508
REL	-0.638
TNF	-3.641
AKT1	0.787
MKI67	1.779
CCND1	-2.456
GATA3	-4.532
FOS	-0.533
TP53	-1.6
REL	1.106
KRAS	-0.601
SHC1	-1.673
STAT3	-2.616
PDGFRA	-4.196
CCNE1	2.596
NOTCH1	2.998
CXCL8	0.925
ABL1	-1.301
CDK2	-2.845
GATA3	-2.96
CDKN2A	2.962
VHL	0.111
NOTCH1	0.309
SMAD4	-2.842
CDK4	-1.528
HIF1A	-2.693
VHL	-2.115
MAP2K2	-3.471
IL10	-1.098
CDKN2A	-4.421
MAPK3	3.539
BRCA2	1.22
BRAF	0.301
KIT	-3.335
HIF1A	0.488
LCK	-0.638
MET	-3.917
PDGFRA	-3.462
HRAS	-2.103
BRCA2	1.596
BRCA1	2.516
MKI67	-2.861
PTEN	-1.879
IL6	-1.119
MAPK3	-4.211
SMAD4	-1.077
PIK3CA	1.592
MAPK3	0.065
MKI67	-4.955
CDKN1A	-4.968
NOTCH1	-3.829
CCND1	2.503
RAF1	4.432
EGFR	1.399
NFKB1	0.467
CDKN1B	0.278
SRC	3.812
APC	-2.43
SYK	-3.787
SRC	4.378
HIF1A	2.044
RB1	3.624
REL	4.781
KRAS	1.61
CDH1	2.67
MAPK1	2.614
CDKN1B	4.172
ABL1	3.561
MAP2K2	-0.318
ABL1	0.533
FGFR1	-0.701
MKI67	4.733
MDM2	-2.749
MAP2K2	-0.3
GATA3	-0.624
VHL	1.908
CDK6	1.897
IL10	0.238
CDKN1A	-1.818
VEGFA	3.314
VEGFA	-2.251
IL6	-3.839
E2F2	-1.424
BRAF	-4.442
PCNA	-1.393
CDH1	0.2
MKI67	2.084
KRAS	3.047
E2F1	-1.25
CDK4	0.421
JAK2	4.765
CDKN2A	2.288
GRB2	-1.54
FGFR2	4.294
BRCA1	-1.645
JUN	-4.093
FGFR3	0.348
SOS1	-2.947
NOTCH1	-2.999
STAT3	3.417
MAP2K1	-4.216
MAPK3	-1.278
SYK	-4.38
ERBB2	1.778
MDM2	2.922
MDM2	-4.939
FOS	0.143
CDH1	-3.463
MAPK1	-0.676
VHL	1.609
VEGFA	2.592
TERT	-0.75
VHL	-2.075
ABL1	1.538
CDK6	-0.455
BRCA1	1.666
REL	-3.056
PIK3CA	4.229
SHC1	3.883
PDGFRA	2.539
EGFR	-2.455
MAPK3	-2.632
RB1	1.462
IL6	-3.866
LCK	-3.271
CDH1	-0.506
KIT	-3.386
MKI67	2.519
PTEN	2.551
FGFR2	4.289
STAT3	0.722
VEGFA	3.804
SRC	-0.828
ERBB2	1.264
SOS1	0.072
CDKN1B	2.213
FGFR2	-2.29
FOS	2.346
E2F2	0.551
ERBB2	-1.028
TERT	0.031
CDK6	-4.557
ERBB2	-1.201
MAP2K1	-3.962
PIK3CA	1.67
MAPK3	0.313
FGFR3	-1.012
FGFR2	1.956
LCK	-3.932
GRB2	0.587
PTEN	0.656
NOTCH1	2.205
CDKN2A	3.15
E2F1	1.597
PTEN	-3.67
RB1	-4.438
SOS1	-3.929
KIT	-2.545
SHC1	-3.507
NOTCH1	-1.054
IL10	0.203
NFKB1	2.456
FOS	1.25
IL10	3.671
VEGFA	0.055
FGFR1	2.136
MDM2	-1.166
BRCA2	-4.887
KIT	-3.243
CDKN1B	-2.346
HRAS	2.653
FGFR3	2.406
HIF1A	-1.902
SOS1	-4.133
JUN	3.662
PDGFRA	-0.783
NOTCH1	-1.946
CDK6	-4.859
APC	-3.781
TERT	-4.473
TERT	-3.903
GRB2	3.955
REL	-4.992
CCND1	-1.781
CDKN2A	-3.065
CCND1	1.1
PIK3CA	-2.229
KRAS	4.396
MET	-1.932
CDKN2A	-3.827
FGFR1	3.841
CDK2	4.365
HIF1A	-0.064
BRCA2	0.553
E2F1	-3.353
MAP2K1	3.809
MYC	-2.321
MDM2	-1.65
CDKN1A	4.942
VHL	-3.335
AKT1	-1.565
ERBB2	-0.667
IL6	-2.697
SRC	-0.451
JUN	4.619
MDM2	-3.906
TP53	0.155
FGFR1	2.381
MYC	-4.045
MKI67	1.48
KRAS	1.854
KIT	1.316
KIT	-3.508
BRAF	4.739
HRAS	3.842
PIK3CA	-0.594
GATA3	-0.539
MAPK3	0.518
PTEN	-3.571
CDK4	-3.958
VEGFA	-1.664
TERT	-3.843
MAP2K2	1.504
CCNE1	-4.873
CCND1	-1.999
REL	-3.363
MET	-0.049
HRAS	-4.04
REL	4.121
NOTCH1	0.635
JAK2	2.233
IL6	-0.195
MAPK1	-3.062
IL6	-3.917
KRAS	-2.538
IL10	-1.308
SRC	-3.257
MAPK3	-2.734
SYK	3.565
HRAS	-4.13
PDGFRA	1.176
EGFR	1.877
CDK2	2.743
PTEN	1.657
MDM2	-4.847
MKI67	3.218
E2F1	-1.555
KIT	-1.26
RB1	-1.343
RAF1	3.438
IL6	3.437
IL6	-4.999
CDK4	-3.129
MYC	4.794
MAP2K2	-3.971
STAT3	-2.237
PTEN	2.689
FGFR3	-0.934
PIK3CA	-2.984
APC	-0.868
KRAS	-4.932
ABL1	-0.822
CDKN2A	3.707
CCND1	0.491
SYK	3.187
CDK2	-0.444
PCNA	3.287
NRAS	-0.541
MAPK3	-2.639
MAPK3	1.067
HIF1A	0.321
CCNE1	-2.563
STAT3	-2.113
PTEN	-4.355
KRAS	-1.73
FGFR1	-0.967
CDH1	1.358
MAPK1	-1.841
MKI67	2.825
CDKN1B	4.879
FGFR2	-0.139
SRC	-4.448
